"","temperature","X","environment (biome)","environment (feature)","environment (material)","environmental package","depth","salinity","Y","instrument model","collection date","project name","geographic location (depth)","sequencing method","NCBI sample classification","ENA checklist","event date/time","marine region","protocol label","sampling campaign","sampling platform","event label","last update date","sample collection device","sampling station","size fraction lower threshold","size fraction upper threshold","nitrate sensor","oxygen sensor","accession","sample-name","sample-desc","biome"
"ERS1972363","-1.5275","-179.99976","marine biome","marine water body","seawater","water","73.0","32.965","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972363","30-4_170506","Station 30 seawater, depth 73m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972383",NA,"-176.76143","marine biome","marine water body","sea ice","water","0.7","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972383","KD012_170407","Station 31 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972337","0.1392","-174.21085","marine biome","marine water body","seawater","water","745.0","34.877","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972337","26-9_170506","Station 26 seawater, depth 745m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972419",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.3","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972419","KD090_170407","Station 46 sea ice, depth 0.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972344","0.5809","-178.92683","marine biome","marine water body","seawater","water","501.0","34.8688","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972344","30-12_170427","Station 30 seawater, depth 501m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972315","-0.3652","-174.21085","marine biome","marine water body","seawater","water","2523.0","34.9554","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972315","26-13_170506","Station 26 seawater, depth 2523m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972321","-0.345","-174.21085","marine biome","marine water body","seawater","water","2901.0","34.9567","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972321","26-16_170506","Station 26 seawater, depth 2901m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972353","-0.4048","-178.92683","marine biome","marine water body","seawater","water","1905.0","34.9492","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972353","30-16_170506","Station 30 seawater, depth 1905m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972348","-0.1749","-178.92683","marine biome","marine water body","seawater","water","1002.0","34.8908","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972348","30-14_170427","Station 30 seawater, depth 1002m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972438","-1.0737","-149.5091","marine biome","marine water body","seawater","water","40.0","29.0736","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972438","KD109_170322","Station 54 seawater, depth 40.3m","root:Environmental:Aquatic:Marine:Oceanic"
